anio,entidad_federativa,municipio,localidad,cct,nombre,ambito,nivel,anio_creacion,antiguedad,alimentacion_agua,bebederos,descarga_agua_residual,con_luz,telefonia_fija,internet,nivel_accesibilidad,wc_alumnos,wc_alumnas,wc_discapacitados,wc_docentes,condicion_fis_wc,num_aulas,estructuras_atipicas,num_edificios,plan_proteccion_civil,mesa_binaria,mesa,silla,silla_paleta,mesa_banco,mesa_banco_binario,pizarron,computadora,laptop,cancha_deportiva,cubierta_techumbre_ext,fn_nombre,entidad_federativa_etq
2022,PUEBLA,IZÚCAR DE MATAMOROS,SAN CARLOS BUENAVISTA,21DJN0863X,SIERVO DE LA NACION,RURAL,PREESCOLAR,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,3,0,1,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 1 EDIFICIO,CON PLAN DE PROTECCIÓN CIVIL,7,118,118,37,0,0,11,7,0,SIN CANCHA,SIN TECHUMBRE,,Puebla
2022,GUERRERO,ILIATENCO,CRUZ VERDE,12DPB0009S,ANTONIO DE MENDOZA,RURAL,PRIMARIA,1982,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,3,3,0,REGULARES,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 9 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,4,20,90,0,0,7,5,3,CON CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,OMETEPEC,CRUZ VERDE I,12DPB0469C,EMILIANO ZAPATA,RURAL,PRIMARIA,1971,MÁS DE 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,2,1,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 7 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,10,5,10,60,0,0,6,3,0,CON CANCHA,SIN TECHUMBRE,,Guerrero
2022,GUERRERO,APAXTLA,CIUDAD APAXTLA DE CASTREJÓN,12DES0012Z,ADRIAN CASTREJON,RURAL,SECUNDARIA,1958,MÁS DE 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,5,7,0,0,BUENAS,12 A 17 AULAS,CON ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,30,25,70,480,0,0,17,12,0,CON CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,MALINALTEPEC,LLANO PANTANOSO,12DCC0562D,GENERAL VICENTE GUERRERO,RURAL,PREESCOLAR,1978,41 A 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,COMPLETA,1,1,1,0,BUENAS,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,20,4,15,0,0,0,2,1,1,CON CANCHA,SIN TECHUMBRE,,Guerrero
2022,GUERRERO,METLATÓNOC,EL COYULITO (EL CORAZÓN),12DCC0718O,19 DE SEPTIEMBRE,RURAL,PREESCOLAR,2003,11 A 20 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,1,0,BUENAS,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,10,0,20,0,0,0,2,0,0,SIN CANCHA,SIN TECHUMBRE,,Guerrero
2022,GUERRERO,TLAPA DE COMONFORT,SAN MIGUELITO,12DPB0903P,JUSTO SIERRA,RURAL,PRIMARIA,1980,41 A 50 AÑOS,CUERPO DE AGUA,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,1,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 6 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,2,7,80,0,0,4,1,0,CON CANCHA,SIN TECHUMBRE,,Guerrero
2022,TABASCO,TEAPA,TEAPA,27EJN0069S,MARIA MONTESSORI,URBANO,PREESCOLAR,1968,MÁS DE 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,4,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 6 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,132,3,275,0,0,0,12,0,0,SIN CANCHA,CON TECHUMBRE,,Tabasco
2022,DURANGO,DURANGO,VICTORIA DE DURANGO,10EPR0365J,PROF. BENIGNO MONTOYA DE LA CRUZ,URBANO,PRIMARIA,1988,31 A 40 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,4,6,0,0,REGULARES,12 A 17 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,180,6,360,12,0,0,24,9,0,CON CANCHA,CON TECHUMBRE,,Durango
2022,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,03DPR0319P,PROF. LUIS RODRIGUEZ CHAVEZ,URBANO,PRIMARIA,1976,41 A 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,4,6,0,0,BUENAS,12 A 17 AULAS,SIN ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,100,2,200,170,0,0,11,15,7,CON CANCHA,CON TECHUMBRE,,Baja California Sur
